name,slug,value,date_of_information,ranking,region
"Monaco","monaco","$270,100","2024",1,"Europe"
"Liechtenstein","liechtenstein","$210,600","2024",2,"Europe"
"Singapore","singapore","$132,600","2024",3,"East and Southeast Asia"
"Luxembourg","luxembourg","$128,200","2024",4,"Europe"
"Ireland","ireland","$115,300","2024",5,"Europe"
"Macau","macau","$112,800","2024",6,"East and Southeast Asia"
"Qatar","qatar","$110,900","2024",7,"Middle East"
"Bermuda","bermuda","$105,300","2024",8,"North America"
"Norway","norway","$91,100","2024",9,"Europe"
"Switzerland","switzerland","$82,000","2024",10,"Europe"
"Brunei","brunei","$79,200","2024",11,"East and Southeast Asia"
"Cayman Islands","cayman-islands","$78,100","2023",12,"Central America and the Caribbean"
"United States","united-states","$75,500","2024",13,"North America"
"Denmark","denmark","$73,700","2024",14,"Europe"
"Greenland","greenland","$71,000","2023",15,"North America"
"San Marino","san-marino","$70,900","2022",16,"Europe"
"Netherlands","netherlands","$70,900","2024",17,"Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015",18,"South America"
"Faroe Islands","faroe-islands","$70,400","2023",19,"Europe"
"Guyana","guyana","$70,300","2024",20,"South America"
"United Arab Emirates","united-arab-emirates","$68,600","2024",21,"Middle East"
"Hong Kong","hong-kong","$66,200","2024",22,"East and Southeast Asia"
"Andorra","andorra","$65,900","2024",23,"Europe"
"Iceland","iceland","$65,600","2024",24,"Europe"
"Sweden","sweden","$63,300","2024",25,"Europe"
"Austria","austria","$63,300","2024",26,"Europe"
"Belgium","belgium","$63,100","2024",27,"Europe"
"Germany","germany","$62,800","2024",28,"Europe"
"Saudi Arabia","saudi-arabia","$62,700","2024",29,"Middle East"
"Malta","malta","$60,500","2024",30,"Europe"
"Australia","australia","$60,100","2024",31,"Australia and Oceania"
"Bahrain","bahrain","$59,100","2024",32,"Middle East"
"Canada","canada","$56,700","2024",33,"North America"
"Finland","finland","$55,600","2024",34,"Europe"
"France","france","$54,500","2024",35,"Europe"
"Cyprus","cyprus","$53,300","2024",36,"Europe"
"Italy","italy","$53,100","2024",37,"Europe"
"United Kingdom","united-kingdom","$52,500","2024",38,"Europe"
"Korea, South","korea-south","$50,400","2023",39,"East and Southeast Asia"
"Slovenia","slovenia","$48,500","2024",40,"Europe"
"Spain","spain","$48,400","2024",41,"Europe"
"New Zealand","new-zealand","$48,200","2024",42,"Australia and Oceania"
"Czechia","czechia","$48,000","2024",43,"Europe"
"Israel","israel","$47,300","2024",44,"Middle East"
"Lithuania","lithuania","$47,200","2024",45,"Europe"
"Virgin Islands","virgin-islands","$46,500","2022",46,"Central America and the Caribbean"
"Japan","japan","$46,100","2024",47,"East and Southeast Asia"
"Sint Maarten","sint-maarten","$45,800","2024",48,"Central America and the Caribbean"
"Kuwait","kuwait","$45,400","2024",49,"Middle East"
"Poland","poland","$45,100","2024",50,"Europe"
"Puerto Rico","puerto-rico","$44,100","2024",51,"Central America and the Caribbean"
"Croatia","croatia","$42,600","2024",52,"Europe"
"Portugal","portugal","$41,900","2024",53,"Europe"
"Russia","russia","$41,700","2024",54,"Central Asia"
"Estonia","estonia","$41,500","2024",55,"Europe"
"Hungary","hungary","$40,700","2024",56,"Europe"
"Romania","romania","$40,600","2024",57,"Europe"
"British Virgin Islands","british-virgin-islands","$40,500","2024",58,"Central America and the Caribbean"
"Aruba","aruba","$40,500","2023",59,"Central America and the Caribbean"
"Slovakia","slovakia","$40,300","2024",60,"Europe"
"Latvia","latvia","$38,900","2024",61,"Europe"
"Greece","greece","$37,800","2024",62,"Europe"
"Oman","oman","$36,700","2024",63,"Middle East"
"Panama","panama","$36,400","2024",64,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","$36,200","2024",65,"Central America and the Caribbean"
"Kazakhstan","kazakhstan","$35,900","2024",66,"Central Asia"
"Guam","guam","$35,600","2016",67,"Australia and Oceania"
"Turkey (Turkiye)","turkey-turkiye","$35,300","2024",68,"Middle East"
"New Caledonia","new-caledonia","$34,600","2024",69,"Australia and Oceania"
"Bulgaria","bulgaria","$34,100","2024",70,"Europe"
"Malaysia","malaysia","$34,100","2024",71,"East and Southeast Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","$33,400","2024",72,"Central America and the Caribbean"
"Taiwan","taiwan","$32,300","2023",73,"East and Southeast Asia"
"Uruguay","uruguay","$32,000","2024",74,"South America"
"Trinidad and Tobago","trinidad-and-tobago","$31,700","2024",75,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$31,300","2024",76,"Central America and the Caribbean"
"Anguilla","anguilla","$31,000","2024",77,"Central America and the Caribbean"
"Chile","chile","$30,200","2024",78,"South America"
"Cook Islands","cook-islands","$29,800","2024",79,"Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","$29,600","2024",80,"Central America and the Caribbean"
"Seychelles","seychelles","$29,200","2024",81,"Africa"
"Belarus","belarus","$29,000","2024",82,"Europe"
"Montenegro","montenegro","$27,900","2024",83,"Europe"
"Curacao","curacao","$27,700","2023",84,"Central America and the Caribbean"
"Mauritius","mauritius","$27,300","2024",85,"Africa"
"Costa Rica","costa-rica","$27,000","2024",86,"Central America and the Caribbean"
"Serbia","serbia","$26,900","2024",87,"Europe"
"Argentina","argentina","$26,500","2024",88,"South America"
"Georgia","georgia","$25,000","2024",89,"Central Asia"
"North Macedonia","north-macedonia","$24,500","2024",90,"Europe"
"Saint Lucia","saint-lucia","$24,300","2024",91,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","$24,200","2024",92,"Central America and the Caribbean"
"China","china","$23,800","2024",93,"East and Southeast Asia"
"Cuba","cuba","$23,700","2024",94,"Central America and the Caribbean"
"Maldives","maldives","$23,400","2024",95,"South Asia"
"French Polynesia","french-polynesia","$23,300","2024",96,"Australia and Oceania"
"Azerbaijan","azerbaijan","$22,100","2024",97,"Central Asia"
"Mexico","mexico","$22,000","2024",98,"North America"
"Thailand","thailand","$21,700","2024",99,"East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$20,400","2024",100,"Europe"
"Armenia","armenia","$20,100","2024",101,"Central Asia"
"Barbados","barbados","$19,900","2024",102,"Central America and the Caribbean"
"Brazil","brazil","$19,600","2024",103,"South America"
"Suriname","suriname","$19,400","2024",104,"South America"
"Montserrat","montserrat","$19,300","2024",105,"Central America and the Caribbean"
"Albania","albania","$18,900","2024",106,"Europe"
"Gabon","gabon","$18,900","2024",107,"Africa"
"Dominica","dominica","$18,700","2024",108,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$18,700","2024",109,"Central America and the Caribbean"
"Colombia","colombia","$18,500","2024",110,"South America"
"Botswana","botswana","$18,100","2024",111,"Africa"
"Turkmenistan","turkmenistan","$18,000","2024",112,"Central Asia"
"Grenada","grenada","$17,700","2024",113,"Central America and the Caribbean"
"Egypt","egypt","$16,800","2024",114,"Africa"
"Mongolia","mongolia","$16,800","2024",115,"East and Southeast Asia"
"Moldova","moldova","$16,500","2024",116,"Europe"
"Kosovo","kosovo","$16,400","2024",117,"Europe"
"Paraguay","paraguay","$16,300","2024",118,"South America"
"Ukraine","ukraine","$16,300","2024",119,"Europe"
"Iran","iran","$16,200","2024",120,"Middle East"
"Palau","palau","$15,800","2023",121,"Australia and Oceania"
"Peru","peru","$15,700","2024",122,"South America"
"Equatorial Guinea","equatorial-guinea","$15,500","2024",123,"Africa"
"Algeria","algeria","$15,400","2024",124,"Africa"
"Bhutan","bhutan","$14,600","2023",125,"South Asia"
"Indonesia","indonesia","$14,500","2024",126,"East and Southeast Asia"
"Vietnam","vietnam","$14,400","2024",127,"East and Southeast Asia"
"Fiji","fiji","$14,100","2024",128,"Australia and Oceania"
"Ecuador","ecuador","$13,900","2024",129,"South America"
"Sri Lanka","sri-lanka","$13,800","2024",130,"South Asia"
"South Africa","south-africa","$13,600","2024",131,"Africa"
"Belize","belize","$13,300","2024",132,"Central America and the Caribbean"
"Tunisia","tunisia","$12,700","2024",133,"Africa"
"Iraq","iraq","$12,700","2024",134,"Middle East"
"Nauru","nauru","$12,600","2024",135,"Australia and Oceania"
"Guatemala","guatemala","$12,600","2024",136,"Central America and the Caribbean"
"Libya","libya","$12,300","2024",137,"Africa"
"El Salvador","el-salvador","$11,700","2024",138,"Central America and the Caribbean"
"Lebanon","lebanon","$11,300","2023",139,"Middle East"
"Niue","niue","$11,100","2021",140,"Australia and Oceania"
"Uzbekistan","uzbekistan","$10,500","2024",141,"Central Asia"
"Eswatini","eswatini","$10,400","2024",142,"Africa"
"Philippines","philippines","$10,400","2024",143,"East and Southeast Asia"
"Jamaica","jamaica","$10,300","2024",144,"Central America and the Caribbean"
"Namibia","namibia","$10,300","2024",145,"Africa"
"Cabo Verde","cabo-verde","$9,900","2024",146,"Africa"
"Bolivia","bolivia","$9,800","2024",147,"South America"
"India","india","$9,800","2024",148,"South Asia"
"Jordan","jordan","$9,500","2024",149,"Middle East"
"Morocco","morocco","$9,100","2024",150,"Africa"
"Laos","laos","$8,600","2024",151,"East and Southeast Asia"
"Bangladesh","bangladesh","$8,500","2024",152,"South Asia"
"Nicaragua","nicaragua","$7,700","2024",153,"Central America and the Caribbean"
"Angola","angola","$7,300","2024",154,"Africa"
"Marshall Islands","marshall-islands","$7,200","2024",155,"Australia and Oceania"
"Tonga","tonga","$7,100","2023",156,"Australia and Oceania"
"Ghana","ghana","$7,100","2024",157,"Africa"
"Kyrgyzstan","kyrgyzstan","$7,000","2024",158,"Central Asia"
"Cambodia","cambodia","$7,000","2024",159,"East and Southeast Asia"
"Samoa","samoa","$6,900","2024",160,"Australia and Oceania"
"Djibouti","djibouti","$6,800","2024",161,"Africa"
"Cote d'Ivoire","cote-divoire","$6,700","2024",162,"Africa"
"Honduras","honduras","$6,600","2024",163,"Central America and the Caribbean"
"Mauritania","mauritania","$6,400","2024",164,"Africa"
"Congo, Republic of the","congo-republic-of-the","$6,200","2024",165,"Africa"
"Tokelau","tokelau","$6,004","2017",166,"Australia and Oceania"
"Kenya","kenya","$5,800","2024",167,"Africa"
"Tuvalu","tuvalu","$5,800","2023",168,"Australia and Oceania"
"Nigeria","nigeria","$5,700","2024",169,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","$5,500","2024",170,"Africa"
"Pakistan","pakistan","$5,500","2024",171,"South Asia"
"Burma","burma","$5,300","2024",172,"East and Southeast Asia"
"Nepal","nepal","$5,000","2024",173,"South Asia"
"Cameroon","cameroon","$4,900","2024",174,"Africa"
"Venezuela","venezuela","$4,900","2023",175,"South America"
"Tajikistan","tajikistan","$4,800","2024",176,"Central Asia"
"Senegal","senegal","$4,500","2024",177,"Africa"
"Papua New Guinea","papua-new-guinea","$4,300","2024",178,"East and Southeast Asia"
"Syria","syria","$4,200","2023",179,"Middle East"
"Timor-Leste","timor-leste","$4,200","2024",180,"East and Southeast Asia"
"Guinea","guinea","$4,000","2024",181,"Africa"
"Benin","benin","$3,900","2024",182,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$3,800","2024",183,"Australia and Oceania"
"Gaza Strip","gaza-strip","$3,800","2024",184,"Middle East"
"West Bank","west-bank","$3,800","2024",185,"Middle East"
"Zambia","zambia","$3,700","2024",186,"Africa"
"Tanzania","tanzania","$3,700","2024",187,"Africa"
"Comoros","comoros","$3,600","2024",188,"Africa"
"Zimbabwe","zimbabwe","$3,500","2024",189,"Africa"
"Kiribati","kiribati","$3,300","2024",190,"Australia and Oceania"
"Rwanda","rwanda","$3,300","2024",191,"Africa"
"Vanuatu","vanuatu","$3,200","2024",192,"Australia and Oceania"
"Sierra Leone","sierra-leone","$3,100","2024",193,"Africa"
"Gambia, The","gambia-the","$3,000","2024",194,"Africa"
"Ethiopia","ethiopia","$2,900","2024",195,"Africa"
"Uganda","uganda","$2,900","2024",196,"Africa"
"Mali","mali","$2,900","2024",197,"Africa"
"Haiti","haiti","$2,800","2024",198,"Central America and the Caribbean"
"Togo","togo","$2,800","2024",199,"Africa"
"Guinea-Bissau","guinea-bissau","$2,700","2024",200,"Africa"
"Lesotho","lesotho","$2,600","2024",201,"Africa"
"Chad","chad","$2,600","2024",202,"Africa"
"Solomon Islands","solomon-islands","$2,500","2024",203,"Australia and Oceania"
"Burkina Faso","burkina-faso","$2,500","2024",204,"Africa"
"Afghanistan","afghanistan","$2,000","2023",205,"South Asia"
"Sudan","sudan","$1,900","2024",206,"Africa"
"Niger","niger","$1,800","2024",207,"Africa"
"Liberia","liberia","$1,700","2024",208,"Africa"
"Madagascar","madagascar","$1,700","2024",209,"Africa"
"Malawi","malawi","$1,600","2024",210,"Africa"
"Mozambique","mozambique","$1,500","2024",211,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$1,500","2024",212,"Africa"
"Somalia","somalia","$1,400","2024",213,"Africa"
"Central African Republic","central-african-republic","$1,100","2024",214,"Africa"
"Burundi","burundi","$800","2024",215,"Africa"
"Eritrea","eritrea","$700","2024",216,"Africa"
"Korea, North","korea-north","$600","2023",217,"East and Southeast Asia"
"South Sudan","south-sudan","$400","2023",218,"Africa"
"Yemen","yemen","$200","2024",219,"Middle East"